UNITID,Year,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
100654,2010,R,1113.0,R,1345.0,R,83.0,R,1046.0,R,0.0,R,1046.0,R,780.0,R,75.0,R,8.0,R,0.0,R,8.0,R,4.0,R,50.0,R,20
100663,2010,R,1542.0,R,2967.0,R,52.0,R,1503.0,R,0.0,R,1503.0,R,1202.0,R,80.0,R,20.0,R,0.0,R,20.0,R,14.0,R,70.0,R,17
100690,2010,R,4.0,R,4.0,R,100.0,R,5.0,R,0.0,R,5.0,R,4.0,R,80.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,10
100706,2010,R,600.0,R,1395.0,R,43.0,R,774.0,R,0.0,R,774.0,R,584.0,R,75.0,R,26.0,R,0.0,R,26.0,R,14.0,R,54.0,R,16
100724,2010,R,1090.0,R,1386.0,R,79.0,R,1209.0,R,0.0,R,1209.0,R,768.0,R,64.0,R,12.0,R,0.0,R,12.0,R,5.0,R,42.0,R,17
100751,2010,R,5489.0,R,7158.0,R,77.0,R,5096.0,R,34.0,R,5062.0,R,4294.0,R,85.0,R,20.0,R,0.0,R,20.0,R,13.0,R,65.0,R,19
100760,2010,R,594.0,R,890.0,R,67.0,R,594.0,Z,0.0,R,594.0,R,358.0,R,60.0,R,92.0,Z,0.0,R,92.0,R,31.0,R,34.0,R,16
100812,2010,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,18
100830,2010,R,758.0,R,1332.0,R,57.0,R,729.0,R,0.0,R,729.0,R,396.0,R,54.0,R,139.0,R,0.0,R,139.0,R,59.0,R,42.0,R,19
100858,2010,R,4079.0,R,5176.0,R,79.0,R,3896.0,R,0.0,R,3896.0,R,3407.0,R,87.0,R,18.0,R,0.0,R,18.0,R,4.0,R,22.0,R,18
100937,2010,R,368.0,R,397.0,R,93.0,R,424.0,R,0.0,R,424.0,R,349.0,R,82.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,13
101028,2010,R,278.0,R,692.0,R,40.0,R,281.0,R,0.0,R,281.0,R,159.0,R,57.0,R,97.0,R,0.0,R,97.0,R,15.0,R,15.0,R,20
101073,2010,R,361.0,R,382.0,R,95.0,R,286.0,Z,0.0,R,286.0,R,130.0,R,45.0,R,61.0,R,0.0,R,61.0,R,4.0,R,7.0,R,21
101116,2010,R,47.0,R,322.0,R,15.0,R,21.0,R,0.0,R,21.0,R,8.0,R,38.0,R,12.0,R,0.0,R,12.0,R,1.0,R,8.0,R,14
101143,2010,R,520.0,R,1192.0,R,44.0,R,553.0,R,0.0,R,553.0,R,330.0,R,60.0,R,128.0,R,0.0,R,128.0,R,45.0,R,35.0,R,18
101161,2010,R,1035.0,R,1895.0,R,55.0,R,1070.0,R,0.0,R,1070.0,R,500.0,R,47.0,R,187.0,R,0.0,R,187.0,R,123.0,R,66.0,R,27
101189,2010,R,215.0,R,484.0,R,44.0,R,344.0,R,0.0,R,344.0,R,228.0,R,66.0,R,84.0,R,0.0,R,84.0,R,58.0,R,69.0,R,13
101240,2010,R,1523.0,R,2564.0,R,59.0,R,1573.0,R,0.0,R,1573.0,R,869.0,R,55.0,R,300.0,R,0.0,R,300.0,R,132.0,R,44.0,R,25
101286,2010,R,953.0,R,1776.0,R,54.0,R,973.0,R,0.0,R,973.0,R,551.0,R,57.0,R,184.0,R,0.0,R,184.0,R,79.0,R,43.0,R,20
101295,2010,R,1091.0,R,2204.0,R,50.0,R,1108.0,R,1.0,R,1107.0,R,674.0,R,61.0,R,157.0,R,0.0,R,157.0,R,91.0,R,58.0,R,25
101301,2010,R,415.0,R,807.0,R,51.0,R,462.0,R,0.0,R,462.0,R,202.0,R,44.0,R,36.0,R,0.0,R,36.0,R,15.0,R,42.0,R,21
101365,2010,R,17.0,R,157.0,R,11.0,R,2.0,R,0.0,R,2.0,R,1.0,R,50.0,R,0.0,R,0.0,R,0.0,Z,0.0,A,,R,14
101435,2010,R,272.0,R,371.0,R,73.0,R,237.0,R,0.0,R,237.0,R,141.0,R,59.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,13
101453,2010,R,5.0,R,12.0,R,42.0,R,2.0,R,0.0,R,2.0,R,1.0,R,50.0,R,2.0,R,0.0,R,2.0,R,1.0,R,50.0,R,5
101462,2010,R,228.0,R,862.0,R,26.0,R,240.0,Z,0.0,R,240.0,R,102.0,R,43.0,R,101.0,Z,0.0,R,101.0,R,33.0,R,33.0,R,16
101471,2010,R,297.0,R,333.0,R,89.0,R,279.0,R,0.0,R,279.0,R,139.0,R,50.0,R,19.0,R,0.0,R,19.0,R,14.0,R,74.0,R,17
101480,2010,R,1246.0,R,2258.0,R,55.0,R,1220.0,R,0.0,R,1220.0,R,829.0,R,68.0,R,32.0,R,0.0,R,32.0,R,22.0,R,69.0,R,20
101499,2010,R,264.0,R,520.0,R,51.0,R,323.0,R,0.0,R,323.0,R,132.0,R,41.0,R,126.0,R,0.0,R,126.0,R,32.0,R,25.0,R,19
101505,2010,R,1309.0,R,3898.0,R,34.0,R,1035.0,R,9.0,R,1026.0,R,609.0,R,59.0,R,498.0,R,2.0,R,496.0,R,223.0,R,45.0,R,24
101514,2010,R,1436.0,R,3508.0,R,41.0,R,1405.0,R,2.0,R,1403.0,R,921.0,R,66.0,R,723.0,R,0.0,R,723.0,R,395.0,R,55.0,R,26
101541,2010,R,93.0,R,117.0,R,79.0,R,68.0,R,0.0,R,68.0,R,43.0,R,63.0,R,0.0,R,0.0,R,0.0,R,0.0,A,,R,10
101569,2010,R,1044.0,R,1948.0,R,54.0,R,1014.0,R,1.0,R,1013.0,R,536.0,R,53.0,R,229.0,R,0.0,R,229.0,R,124.0,R,54.0,R,23
101587,2010,R,290.0,R,536.0,R,54.0,R,193.0,R,0.0,R,193.0,R,121.0,R,63.0,R,16.0,R,0.0,R,16.0,R,4.0,R,25.0,R,18
101602,2010,R,433.0,R,821.0,R,53.0,R,354.0,R,0.0,R,354.0,R,179.0,R,51.0,R,49.0,R,0.0,R,49.0,R,15.0,R,31.0,R,17
101648,2010,R,232.0,R,284.0,R,82.0,R,254.0,R,1.0,R,253.0,R,86.0,R,34.0,Z,0.0,Z,0.0,Z,0.0,Z,0.0,A,,R,18
101675,2010,R,343.0,R,467.0,R,73.0,R,407.0,R,0.0,R,407.0,R,222.0,R,55.0,R,10.0,R,0.0,R,10.0,R,7.0,R,70.0,R,15
101693,2010,R,233.0,R,394.0,R,59.0,R,221.0,Z,0.0,R,221.0,R,157.0,R,71.0,R,7.0,R,0.0,R,7.0,R,2.0,R,29.0,R,12
101709,2010,R,425.0,R,647.0,R,66.0,R,409.0,R,1.0,R,408.0,R,295.0,R,72.0,R,20.0,R,0.0,R,20.0,R,9.0,R,45.0,R,17
101736,2010,R,834.0,R,1620.0,R,51.0,R,919.0,R,0.0,R,919.0,R,480.0,R,52.0,R,181.0,R,0.0,R,181.0,R,53.0,R,29.0,R,23
101879,2010,R,961.0,R,1686.0,R,57.0,R,1064.0,R,0.0,R,1064.0,R,694.0,R,65.0,R,17.0,R,0.0,R,17.0,R,12.0,R,71.0,R,21
101897,2010,R,671.0,R,1230.0,R,55.0,R,834.0,R,0.0,R,834.0,R,498.0,R,60.0,R,137.0,R,0.0,R,137.0,R,55.0,R,40.0,R,23
101912,2010,R,455.0,R,561.0,R,81.0,R,394.0,R,0.0,R,394.0,R,264.0,R,67.0,R,1.0,R,0.0,R,1.0,R,0.0,R,0.0,R,14
101949,2010,R,432.0,R,685.0,R,63.0,R,390.0,R,0.0,R,390.0,R,72.0,R,18.0,R,65.0,R,0.0,R,65.0,R,20.0,R,31.0,R,18
