UNITID,Year,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
100654,2020,R,1525.0,R,1712.0,R,89.0,R,1688.0,R,2.0,R,0.0,R,1686.0,R,911.0,R,54.0,R,6.0,R,0.0,R,0.0,R,6.0,R,2.0,R,33.0,R,18.0
100663,2020,R,2102.0,R,3661.0,R,57.0,R,2294.0,R,0.0,R,0.0,R,2294.0,R,1982.0,R,86.0,R,42.0,R,0.0,R,0.0,R,42.0,R,20.0,R,48.0,R,20.0
100690,2020,A,,A,,A,,R,2.0,Z,0.0,Z,0.0,R,2.0,R,1.0,R,50.0,A,,A,,A,,A,,A,,A,,R,13.0
100706,2020,R,1328.0,R,2186.0,R,61.0,R,1489.0,R,0.0,R,0.0,R,1489.0,R,1218.0,R,82.0,R,8.0,R,0.0,R,0.0,R,8.0,R,2.0,R,25.0,R,19.0
100724,2020,R,926.0,R,1123.0,R,82.0,R,1000.0,R,2.0,R,0.0,R,998.0,R,619.0,R,62.0,R,19.0,R,0.0,R,0.0,R,19.0,R,1.0,R,5.0,R,15.0
100751,2020,R,6466.0,R,7948.0,R,81.0,R,6734.0,R,2.0,R,0.0,R,6732.0,R,5872.0,R,87.0,R,30.0,R,0.0,R,0.0,R,30.0,R,17.0,R,57.0,R,20.0
100760,2020,R,225.0,R,642.0,R,35.0,R,328.0,R,0.0,R,0.0,R,328.0,R,194.0,R,59.0,R,68.0,R,0.0,R,0.0,R,68.0,R,26.0,R,38.0,R,15.0
100812,2020,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,R,15.0
100830,2020,R,641.0,R,1072.0,R,60.0,R,602.0,R,1.0,R,0.0,R,601.0,R,419.0,R,70.0,R,24.0,R,0.0,R,0.0,R,24.0,R,8.0,R,33.0,R,16.0
100858,2020,R,4869.0,R,6014.0,R,81.0,R,4761.0,R,2.0,Z,0.0,R,4759.0,R,4377.0,R,92.0,R,47.0,R,2.0,Z,0.0,R,45.0,R,34.0,R,76.0,R,20.0
100937,2020,R,256.0,R,298.0,R,86.0,R,332.0,R,0.0,R,0.0,R,332.0,R,264.0,R,80.0,A,,A,,A,,A,,A,,A,,R,10.0
101028,2020,R,191.0,R,501.0,R,38.0,R,260.0,R,0.0,R,0.0,R,260.0,R,144.0,R,55.0,R,67.0,R,0.0,R,0.0,R,67.0,R,24.0,R,36.0,R,13.0
101116,2020,R,5.0,R,37.0,R,14.0,R,10.0,R,0.0,R,0.0,R,10.0,R,6.0,R,60.0,R,1.0,R,0.0,R,0.0,R,1.0,R,1.0,R,100.0,R,10.0
101143,2020,R,316.0,R,780.0,R,41.0,R,359.0,R,0.0,R,0.0,R,359.0,R,214.0,R,60.0,R,45.0,R,0.0,R,0.0,R,45.0,R,16.0,R,36.0,R,16.0
101161,2020,R,1065.0,R,2824.0,R,38.0,R,1336.0,Z,0.0,R,0.0,R,1336.0,R,728.0,R,54.0,R,209.0,Z,0.0,Z,0.0,R,209.0,R,60.0,R,29.0,R,15.0
101189,2020,R,277.0,R,867.0,R,32.0,R,258.0,R,0.0,R,0.0,R,258.0,R,156.0,R,60.0,R,15.0,R,0.0,R,0.0,R,15.0,R,5.0,R,33.0,R,13.0
